user_id,event_id,interaction_type,timestamp
482,80,bookmark,2025-04-14 12:20:00
856,426,like,2025-05-06 12:20:00
73,928,view,2025-04-20 12:20:00
326,726,purchase,2025-05-11 12:20:00
233,12,bookmark,2025-04-28 12:20:00
385,282,view,2025-06-14 12:20:00
701,144,bookmark,2025-06-01 12:20:00
801,376,bookmark,2025-04-13 12:20:00
170,127,purchase,2025-05-09 12:20:00
989,575,view,2025-05-12 12:20:00
880,315,like,2025-05-23 12:20:00
314,910,bookmark,2025-04-10 12:20:00
482,875,bookmark,2025-04-30 12:20:00
813,809,view,2025-03-28 12:20:00
983,883,bookmark,2025-06-18 12:20:00
900,282,like,2025-06-08 12:20:00
998,150,bookmark,2025-05-06 12:20:00
177,72,view,2025-04-29 12:20:00
108,63,bookmark,2025-04-20 12:20:00
338,410,view,2025-04-07 12:20:00
86,242,like,2025-06-18 12:20:00
293,791,view,2025-06-08 12:20:00
433,60,bookmark,2025-06-17 12:20:00
237,543,bookmark,2025-04-06 12:20:00
271,698,purchase,2025-04-05 12:20:00
591,785,view,2025-05-23 12:20:00
129,445,purchase,2025-05-05 12:20:00
611,805,view,2025-06-10 12:20:00
39,524,view,2025-04-20 12:20:00
535,440,like,2025-05-11 12:20:00
686,636,bookmark,2025-04-27 12:20:00
336,729,like,2025-06-10 12:20:00
35,611,purchase,2025-05-11 12:20:00
255,403,bookmark,2025-05-26 12:20:00
241,347,bookmark,2025-04-18 12:20:00
883,740,view,2025-04-17 12:20:00
393,27,view,2025-04-16 12:20:00
994,417,purchase,2025-04-02 12:20:00
321,415,view,2025-05-27 12:20:00
185,504,view,2025-06-09 12:20:00
577,580,view,2025-06-17 12:20:00
838,772,view,2025-05-30 12:20:00
249,300,bookmark,2025-04-24 12:20:00
647,522,view,2025-05-08 12:20:00
978,167,purchase,2025-05-29 12:20:00
357,159,like,2025-06-19 12:20:00
669,570,view,2025-06-13 12:20:00
804,137,bookmark,2025-04-05 12:20:00
328,244,bookmark,2025-05-16 12:20:00
246,906,bookmark,2025-05-23 12:20:00
6,9,bookmark,2025-04-14 12:20:00
305,297,view,2025-05-30 12:20:00
732,548,like,2025-05-02 12:20:00
856,806,bookmark,2025-04-08 12:20:00
877,309,view,2025-04-08 12:20:00
6,959,bookmark,2025-06-03 12:20:00
295,334,purchase,2025-05-14 12:20:00
341,309,like,2025-06-04 12:20:00
724,505,like,2025-05-23 12:20:00
932,530,view,2025-05-14 12:20:00
756,887,like,2025-05-09 12:20:00
141,805,like,2025-05-30 12:20:00
532,194,view,2025-05-18 12:20:00
782,52,bookmark,2025-04-05 12:20:00
930,316,view,2025-04-02 12:20:00
509,926,bookmark,2025-05-10 12:20:00
90,221,view,2025-03-30 12:20:00
171,680,view,2025-03-30 12:20:00
492,662,view,2025-05-02 12:20:00
820,310,like,2025-04-30 12:20:00
881,758,like,2025-05-21 12:20:00
667,703,view,2025-05-20 12:20:00
435,459,purchase,2025-06-04 12:20:00
882,412,like,2025-04-16 12:20:00
326,931,view,2025-06-10 12:20:00
951,403,view,2025-04-28 12:20:00
295,767,like,2025-05-09 12:20:00
763,498,purchase,2025-06-07 12:20:00
120,478,bookmark,2025-06-14 12:20:00
321,673,bookmark,2025-05-05 12:20:00
227,322,like,2025-03-27 12:20:00
460,102,purchase,2025-05-01 12:20:00
